track,rank,name,role_affiliation,why_them,aks_tag,warm_intro_path,est_check_tier,verification,source_url
angel_hnw,20,Jeb W. Jones - CONFLICT FLAG,"CEO, Pro Star Rental / President & GP, Pro Star Capital LP; new Southside Bancshares director; Vice Chair, CHRISTUS Health Northeast Texas Region; PAST CHAIR, HOSPICE OF EAST TEXAS","On paper the perfect prospect - but he is past board chair of the incumbent nonprofit hospice you'd compete with. Assume loyalty conflict and information risk. Approach only deliberately, if at all.",,Banking (Southside) - but see conflict flag,N/A until conflict assessed,Search-verified,https://investors.southside.com/news/news-details/2025/Southside-Bancshares-Inc--Announces-New-Directors-and-Chief-Operating-Officer/default.aspx
physician,1,Dr. Charles R. Gordon,"Neurosurgery (spine); founder, Texas Spine & Joint Hospital; founder, Precision Spine Care; founder, Flexus Spine (device co.)","Known lead - confirmed serial physician-entrepreneur: hospital, multi-site practice, and device company.",LOW - spine surgery; does not refer to hospice,Direct (existing relationship),$100K-$250K,Search-verified,https://tsjh.org/charles-r-gordon-m-d/
physician,2,Dr. Michael E. Russell II,"Orthopedic spine surgery, Azalea Orthopedics; co-founder & past board chairman, TSJH; past president, Physician Hospitals of America",National physician-ownership advocate; hospital equity; practice leadership - arguably the strongest capacity+ideology fit in Tyler for a physician-owned venture.,LOW - orthopedics,Via Dr. Gordon (TSJH co-founders) or Azalea network,$100K-$250K,Search-verified,https://azaleaortho.com/doctor/michael-e-russell-ii-md/
physician,3,Dr. Kevin Pauza,"Physiatry / interventional spine; co-founder & founding partner, TSJH; inventor of the Discseel procedure","Hospital co-founder, procedure/IP entrepreneur. DILIGENCE FLAG (unverified): a tylerpaper.com headline about a Tyler doctor disciplined by the medical board surfaced in his search results - confirm whether it concerns him before approach.",LOW - interventional spine/PM&R,Via Dr. Gordon / TSJH founders' circle,$100K-$250K,Search-verified; diligence flag,https://en.wikipedia.org/wiki/Kevin_Pauza
physician,4,Dr. Aaron K. Calodney,"Anesthesiology / interventional pain, Precision Spine Care + TSJH; past president, Texas Pain Society; ASIPP board","National pain-medicine leader, TSJH privileges since 1991, likely TSJH ownership stake; industry consulting income.",LOW - anesthesia/pain,Via Precision Spine Care partners (Gordon) or Texas Pain Society,$50K-$100K,Search-verified,https://tsjh.org/aaron-k-calodney-m-d/
physician,5,Dr. John Priddy,"Orthopedic surgery (foot/ankle), Azalea Orthopedics; clinic president 2022-2025; TSJH-affiliated","Just completed practice-president term - governance experience, partner-level equity, freed-up bandwidth.",LOW - orthopedics,Azalea partners via Dr. Russell; TSJH network,$50K-$100K,Search-verified,https://azaleaortho.com/doctor/john-priddy-md/
physician,6,Dr. Patrick Wupperman,"Orthopedic surgery / sports medicine (Andrews fellowship), Azalea Orthopedics; incoming practice president, 2026",Rising leader of the region's dominant ortho group; partner equity.,LOW - orthopedics/sports medicine,Azalea network via Russell/Priddy,$50K,Search-verified,https://azaleaortho.com/dr-wupperman-named-azalea-president/
physician,7,Dr. Leo W. Mack Jr.,Ophthalmology (cataract); private practice in Tyler since 1976; operates at NovaMed Surgery Center of Tyler,"~50-year career, likely retired or winding down; ASC operating history suggests ownership-mindedness and accumulated capital.",LOW - ophthalmology; retired/near-retired,NovaMed ASC physician group; SCMS senior-member circle,$50K,Search-verified,https://novamedsurgerycenteroftyler.com/physicians/leo-w-mack-jr-md
physician,8,Dr. Michael C. Ford,"Ophthalmology, Tyler; operates at NovaMed Surgery Center; CHRISTUS + UT Health affiliations",25+ year cataract/glaucoma practice; ASC user (ownership unverified).,LOW - ophthalmology,NovaMed ASC group; Dr. Mack,$50K,Search-verified,https://novamedsurgerycenteroftyler.com/physicians/michael-ford-md
physician,9,Dr. Craig E. Harrison,"Plastic surgery, longtime private practice, Tyler",Established cosmetic practice = cash-pay income; ownership of surgical suite unverified.,LOW - plastic surgery,Chamber of Commerce; SCMS,$50K,Search-verified,https://taabsink.wixsite.com/plasticsurgerytyler/dr-harrison
physician,10,Dr. Mark Wallis (and Dr. Luke Wallis),"Dermatology; Wallis Dermatology - multi-site private group (Tyler, Longview, Marshall)",Family-owned multi-location practice that has stayed independent of PE roll-ups; business-builder profile.,LOW - dermatology,SCMS; East Texas referral community; chamber,$50K,Search-verified,https://www.wallisderm.com/
physician,11,Dr. Noah Israel,"Cardiology; founded Cardiovascular Associates of East Texas (1982), grew into CardiaStream, sold to CHRISTUS Health in 2023",Built and exited the largest cardiology group in East Texas - proven liquidity event; likely retired or senior. Confirm current status post-acquisition.,HIGH - cardiology plausibly refers to hospice; requires regulatory counsel clearance (mitigated if fully retired - verify),CardiaStream alumni network; CHRISTUS medical staff; SCMS,$100K+,Search-verified,https://www.christushealth.org/connect/news/christus-health-acquires-cardiastream
physician,12,Dr. C. Fagg Sanford,Cardiology; co-built the first heart program at Mother Frances Hospital; CardiaStream principal,Same exit as Dr. Israel; senior/likely retired. Status unverified.,HIGH - cardiology; counsel clearance required,Via Dr. Israel / CHRISTUS heart program alumni,$50K-$100K,UNVERIFIED status,https://www.christushealth.org/connect/news/christus-health-acquires-cardiastream
physician,13,Dr. Steven P. Keuer,"Internal medicine; president, CHRISTUS Trinity Clinic & CMO, CHRISTUS Trinity Mother Frances Health System",Top physician executive of Tyler's largest system; convenes the Trinity Clinic physician network.,HIGH - IM + controls a primary-care/hospitalist network that is a major hospice referral source; counsel clearance essential,CHRISTUS medical staff leadership; SCMS,$50K,Search-verified,https://www.christushealth.org/trinity/clinic/find-a-doctor/steven-keuer
physician,14,Dr. Suman Sinha,"Pulmonology/critical care; Chief of Pulmonary Medicine, CHRISTUS Health, Tyler; Texas Medical Association physician leader",Department chief; TMA leadership = wide physician network; politically engaged.,HIGH - pulmonology/critical care refers directly to hospice; counsel clearance required,TMA/SCMS leadership track,$50K,Search-verified,https://www.linkedin.com/in/suman-sinha-a0290a1b7/
physician,15,Dr. Mike Lamanteer,"Internal medicine/hospitalist; CMO, UT Health East Texas (since Sept 2023)",System CMO of Tyler's other major system.,HIGH - hospitalist/IM background + oversees discharge pathways; counsel clearance essential,UT Health East Texas medical staff; UT Tyler School of Medicine circles,$50K,Search-verified,https://theorg.com/org/ut-health-east-texas/org-chart/mike-lamanteer-m-d
physician,16,Dr. Kyna Schreiber,"Vascular neurology, UT Health East Texas; assistant professor, UT Tyler; reported president, Smith County Medical Society","If SCMS president, she is the gateway to the county's organized-medicine network. SCMS role from search summary only.",HIGH - neurology (stroke/dementia) refers to hospice; counsel clearance required,SCMS itself,$50K,UNVERIFIED (SCMS role),https://www.uttyler.edu/directory/neurology-residency/kyna-schreiber.php
